SizeRank,RegionName,StateName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
101,"Scranton, PA",PA,851.5425162914275,851.2662012306516,858.9178433712596,860.2428851196721,872.6090570794075,876.0213270173251,887.3839245433327,888.8527410373547,898.2526205361828,909.7256061345954,916.2461351418452,933.1850836987694,941.7864953598688,951.5291475711572,961.5326374856104,972.5563351413958,981.1245985996824,995.03361658153,1010.5250294983748,1025.790344347163,1032.876442407083,1039.9749216519365,1050.1839879056215,1054.8823067306412,1062.0783260368662,1073.9977338633005,1091.84032135656,1103.6243917499623,1107.5432373745352,1105.976443980694,1106.7508878016406,1118.9879897850076,1131.6353192689337,1134.6390347863166,1133.4984589409753,1134.838614270176,1144.521110972912,1144.582917182389,1141.615308473381,1142.8555071220862,1153.7896399883612,1163.196580311204,1161.140819581724,1164.4865397238632,1169.7173262027802,1183.0130418988092,1188.2311502623538,1194.334204230331,1196.221536933358,1203.7076469082658,1210.1151892877697,1216.1066141054137,1218.4702246396496,1223.8300592259363,1236.2817880139398,1238.9859952588447,1241.4760466349571,1242.3387122733843,1251.053409537223,1258.5609755882415
102,"Chattanooga, TN",TN,1043.8272034310612,1048.9939477992407,1055.8144401208378,1063.990619272932,1065.8248173121426,1068.615225999473,1072.6721790842284,1083.3382790857752,1097.8678815853918,1109.1280643151083,1116.6322500415447,1123.9977881965697,1129.0705526246288,1136.265096492866,1141.708018652582,1160.405875235046,1183.941400462428,1206.8532684467548,1223.7374872267528,1239.2265351645976,1259.3425636276468,1280.698342524899,1301.1516950892417,1323.1009117016624,1331.6357766678166,1347.1338904044555,1359.032068259478,1370.877698396794,1379.335570701773,1386.207906395309,1391.100594633042,1392.4571013221253,1395.2358378986985,1400.4599421162943,1408.8043287924695,1405.142341202953,1420.571655736769,1426.0193259096268,1441.9029554385895,1440.769352582059,1438.2594387877848,1443.2221715148012,1454.882898672246,1465.838129048672,1466.4589856761972,1471.455038817748,1475.1344622565646,1484.1175699270998,1484.979527095761,1489.4454722811324,1487.6267688713922,1494.970728650237,1503.5162872708702,1506.47757668841,1505.8602493952685,1506.969995858777,1513.4032566002136,1514.3208306438532,1514.284365379558,1515.2087917248002
103,"Modesto, CA",CA,1457.5597923980529,1467.4907404092733,1481.5268673042956,1487.1037370172282,1494.438732790404,1498.630269038741,1514.9605462745549,1526.5845154241938,1541.9116743095024,1563.4099309351031,1583.5035481709829,1597.950554998834,1614.6000005753306,1623.5581868711708,1643.5136539064094,1648.652494537455,1673.6959277407268,1694.6680842716569,1724.7983837717284,1742.9115664141868,1755.895815114319,1758.8430279387603,1777.6441751988625,1802.2142771625531,1821.7701503871356,1836.5567352686096,1851.2422130179111,1874.16258505628,1876.1883123472328,1883.212772940205,1878.7005064080563,1889.2812042693397,1892.88269521247,1902.921376879871,1904.5596580087335,1900.352698024065,1915.0494607389649,1920.2515433803112,1928.162735957104,1923.9704122555888,1929.5753933126005,1937.7380005541231,1944.645947010385,1952.6275048511577,1963.4883826927312,1970.526046772686,1972.623043797644,1985.469325833904,1989.5190299284352,1998.1237638634136,2001.674535451252,2013.8259286315413,2023.62209276792,2029.5779326222016,2039.2356329625295,2042.919020994328,2048.294810931041,2054.980343491782,2065.8345959564854,2069.79013128252
104,"Lancaster, PA",PA,966.1065373144336,969.5310837811472,973.8901888312876,974.1778765964,976.9945191453148,984.3648890749952,991.3538660814804,999.2052970698938,1007.8798144342904,1014.4901521244705,1022.1364927757704,1029.9933843113715,1039.7724552967002,1051.7519027195692,1061.4776458757474,1073.3360276365354,1082.8345165409637,1089.7762632283786,1100.5073390721243,1108.6185975503072,1119.2299305692188,1131.2494393512789,1142.897038729651,1155.5742652325127,1160.93707466949,1166.2017392309408,1175.261391170865,1186.5537585564623,1192.6139665470605,1205.2564928130626,1213.094115179366,1228.938538560412,1229.2744651013732,1238.6262679915992,1242.811422780088,1249.9050682243271,1253.8042569491267,1263.821707866996,1275.6861267901982,1283.052725833549,1287.0963126733277,1290.3392902525231,1293.5158359539084,1299.982637970195,1308.6437566746945,1315.1050679094012,1318.480855337696,1327.5816118023877,1331.2201688594046,1335.70691896552,1337.290766574438,1340.8134146787477,1350.2091374202394,1357.2218935185413,1365.9699039823336,1368.527085265824,1376.8469572033837,1382.0312604859098,1392.4545597695528,1396.7124595203395
105,"Portland, ME",ME,1506.4977757323632,1518.8082102562917,1530.8781716483982,1532.5888788337895,1531.105090274419,1535.9910203550178,1551.0487936530328,1563.4797668783986,1574.820883346683,1595.4709808009309,1612.729271663715,1622.1536721871664,1633.5278425911686,1645.0633586552658,1658.8020151424105,1665.9113293514424,1682.1535819270389,1708.0538214711555,1735.8952391746477,1758.8910800040826,1778.2540439863233,1791.109837998578,1814.4643199436496,1842.133111580897,1862.782480433057,1863.4995153248196,1870.5637725397623,1883.866379171832,1916.5484630520775,1930.1908864226496,1943.3643817903517,1956.0627498460617,1963.0749643890908,1986.0727286248705,1982.38202156952,1993.5161607432951,1987.7317469155696,2002.5232568821468,2007.649278016408,2027.962449459351,2033.066800402664,2044.486097672792,2050.352236117322,2053.1955859988216,2061.1593416996056,2066.4192415575753,2071.8440610911116,2075.3077515046753,2090.6465485853164,2102.4727490733435,2118.1694729313385,2120.426366893848,2122.411910754278,2126.9552331602613,2135.5022452455323,2148.0928526556477,2160.783811844301,2168.8457229197866,2188.3207423841523,2201.309628988944
106,"Youngstown, OH",OH,691.8119877393692,691.870459264002,698.5390462975002,708.1151159752197,715.0119004244879,720.3530476942494,726.1350333833351,726.3179389769138,735.5244858520751,732.965330248599,740.8585535430165,743.1053436662569,757.5045794270552,765.9685467777405,776.6915118182213,782.7160826756256,790.2832826574336,801.9106650585259,810.3976069735487,828.2983867673075,832.4554758077408,842.8411631918852,841.6631499603881,852.6339777551926,855.6796770110684,858.0408879728219,861.0403356760542,866.2716901210426,869.5518832073096,869.7310053756339,868.5646570440665,871.2580684448241,878.252970148852,882.6154394357899,886.9625420177356,893.921753914456,900.7967160003932,914.401647823846,913.6408462342392,915.4230138080408,916.5618624194076,919.0767617194234,922.5723528929124,917.764337446536,929.93378949184,931.4858947978306,941.698961754116,950.0860759011324,954.8728579169192,954.767167026538,964.8212019390396,972.3020498480752,980.75784506971,988.5900107927024,996.7798170406552,1007.38771820932,1004.3556865409728,1010.1408492781007,1010.8968345681236,1008.967255773274
107,"Lansing, MI",MI,837.9241829314768,845.9901669149598,846.4365729200424,851.1627733383958,854.8942042253223,858.1610738431001,861.9192973016015,864.5986774223242,871.7989183927027,875.8303324060137,878.8950987626542,890.3540627471046,895.5012481052617,912.1275623744052,909.3510920420867,914.5269063417468,915.0274176336098,924.0262803650592,932.8009196696496,945.6665901606032,955.6692092934032,963.54937715997,971.0988159719684,975.769198785371,989.5943855568158,992.0286726454442,1006.5491080467374,1011.4016238012604,1027.835829540026,1035.2862415095697,1040.4624209490134,1047.4860255221536,1044.7987592901102,1049.9711845213951,1047.5345717902867,1062.774295902644,1063.7974650880094,1070.5911736269825,1065.8162338312402,1071.423306687095,1070.614752366404,1069.568272943116,1076.3001485623904,1085.029634218144,1090.6952307078147,1093.2502734489512,1110.023697978262,1112.111127005296,1111.3048783620306,1115.4169912923714,1126.4618508167057,1132.6922588286598,1139.0539416111255,1148.3058436389251,1152.5253016615584,1153.3043127275685,1161.9571802271746,1169.6424684454992,1169.9528446288612,1173.287693803828
108,"Fayetteville, AR",AR,1075.990093559952,1078.5050445225468,1093.012550400504,1094.6006132786697,1096.442561580109,1096.6988763182942,1098.7885716335445,1099.7445060383684,1106.9256265607194,1117.5629808790927,1128.3294694669185,1133.8325688588914,1140.567624671926,1151.9651320659714,1160.490539300273,1172.3206531854044,1180.307591858686,1192.811501299407,1205.0973655733449,1222.1536876734824,1240.881238099122,1253.6184311933475,1267.8968096072558,1280.0525013520426,1290.3753429562712,1296.2026851228395,1303.003702047578,1321.27922565866,1342.6815156670257,1365.811642041691,1389.147939438178,1411.8585639792734,1417.9282069275175,1422.191486989612,1426.526923894674,1443.9931297093094,1455.787295472588,1459.5918867562243,1464.4571884054942,1467.0514011544635,1469.8167010415314,1469.7944486343342,1469.7597564302368,1470.899841499785,1474.5973399354857,1485.4004259925616,1484.5560508672313,1484.4449119035387,1488.261223140172,1500.0571626100034,1510.879036676217,1516.7855907944638,1521.944421638742,1527.591427688316,1533.533997785733,1538.2452329104324,1549.2239650599836,1557.2321410974062,1574.3500574662332,1585.2933245137335
109,"Fayetteville, NC",NC,928.2146237520752,933.5469342758968,945.5009154263356,946.7118984446554,949.786683399814,956.8013256602884,968.3768929221376,977.4668317179992,989.4380681722728,1006.1588077731898,1018.8249588508962,1028.2498641071425,1033.1383548830204,1043.8808356219365,1054.7832985538685,1075.606088676749,1097.2044835006766,1117.4627101358983,1136.756194429969,1149.7956913349176,1167.5148037551942,1173.8131925855148,1190.5109722733043,1207.5443486574688,1229.8182419781267,1241.6739564890786,1252.9466448188157,1265.2157598192248,1274.948225867181,1283.311693438084,1286.7355986927864,1300.1531553391876,1303.9541382891043,1314.3847044316012,1313.5672690474446,1319.7592845188965,1326.620811684753,1338.9879498433795,1348.842237953103,1348.9244039553282,1352.5304408280367,1352.083660879381,1354.8343746755872,1354.8388969231987,1358.807505466499,1366.1451497085625,1372.6556917019298,1374.082410530125,1378.6582581723271,1378.8650090526617,1381.0644910985666,1387.7877198658414,1392.6848260717518,1401.4251659890986,1410.0713392326927,1417.1438775606505,1424.6063190650682,1428.333836681478,1436.0215570668113,1444.2123466997248
110,"Lexington, KY",KY,965.5964468275246,967.0943480958358,976.1121203875229,975.80713654902,975.024732746097,975.0898226692808,979.1919239764342,984.4546407337888,990.8223847988608,993.7905024779336,1001.717504204776,1008.5285223483496,1015.3149176002196,1023.7348363230608,1028.8735199703422,1040.8760517122926,1053.0364692328108,1066.1131094811071,1081.0623938831122,1097.348163319162,1110.9440646484709,1121.5171335468235,1130.6362198892732,1140.167353098677,1145.4700790233824,1152.4202352450263,1162.7365887026551,1176.130792458046,1187.5220862811498,1203.590836244396,1215.625728774044,1217.3903450845546,1216.4585749135542,1220.4246849074752,1226.7544880394078,1241.863182256291,1254.8476173365018,1268.1326602060287,1270.5771307445889,1275.8249246394648,1282.6879941409072,1286.234396910963,1286.271196372239,1293.1870863232273,1299.7835890354495,1304.2028118365245,1310.1215169236862,1316.4023977235286,1327.9445645234268,1331.3575842772557,1342.098137794404,1347.3991052015758,1352.3780811488414,1357.1821576344937,1366.1814934404176,1374.5574616830202,1384.933897351617,1395.0330450808822,1402.5342133952695,1404.7597474665367
111,"Pensacola, FL",FL,1180.9341868112986,1188.9439104141677,1206.7407347947028,1205.807477391689,1208.751199559837,1214.689616808117,1226.5787533225002,1235.0333157595412,1249.169947718731,1263.2127095702529,1278.755364156757,1298.5625929892053,1312.1085851564533,1335.4858249444064,1349.4413407974305,1392.43147727745,1423.3331484447472,1456.3297549589686,1480.5852280224776,1514.9491537346212,1543.400068919858,1563.6030141484125,1571.8383624172916,1586.832328729775,1598.6668791283623,1612.9049983975617,1625.8713301628482,1625.797097498805,1636.9062934021815,1646.2678679835626,1654.6273509996513,1656.4854172779203,1663.0303115762665,1668.4409140580535,1671.964712961801,1664.8928626642787,1674.9003505352246,1673.9926794420549,1681.3197579288635,1683.1400535060932,1685.6423088990348,1683.4195643864905,1681.6989404945352,1681.3408936877554,1681.3391900204017,1682.7259738414778,1690.3297873424108,1703.6646522373917,1712.376717765669,1718.967502206484,1721.131834448294,1726.469049205439,1727.8459257908255,1732.4855190914584,1738.423003139868,1743.7551898233787,1746.9917540191966,1750.6904098094517,1751.9964453977857,1751.468044141361
112,"Santa Rosa, CA",CA,2138.8061569542406,2146.92706508407,2150.5213028706116,2143.057191662443,2134.577937450079,2137.0917628003713,2131.4751702085405,2141.493241327826,2148.1707542970116,2172.980481848687,2180.4040346775732,2187.7253257004418,2182.265927895043,2193.147070149642,2195.6333978737557,2204.6050563394892,2220.4742764910266,2245.8503826893807,2282.216439493066,2304.560298181264,2330.3349972940805,2336.402652024269,2357.168056263485,2365.332404612429,2390.7528095560165,2405.0846017358567,2434.858985138403,2459.294629112095,2476.9030516315083,2481.733075888046,2482.2667814168894,2479.7509608927207,2478.7587481084024,2477.3133535427755,2473.2466664911262,2486.1276681558043,2487.4891896987715,2497.8405224388407,2500.976294016414,2510.762130343311,2522.3075665367605,2530.2347597831467,2538.0613898446363,2548.9384396441874,2564.092402955137,2562.741216862371,2570.138350341954,2566.3787077770544,2579.1255388197656,2580.7839549904097,2582.495738629074,2580.967995873309,2580.166963070578,2586.10048635413,2592.1130116485965,2599.8999112025567,2603.0702078944146,2622.4658335183835,2633.990654198127,2648.3902038505685
113,"Reno, NV",NV,1419.7782710427769,1427.7215476646647,1428.6036546435903,1428.512712934122,1424.864207142146,1416.8230045456826,1417.3332468047952,1433.835838519883,1456.6256465769163,1484.7077633525907,1505.4109266429298,1523.031464240382,1538.181151940552,1553.7107413694712,1567.875007387801,1583.5954223835167,1606.60818359191,1633.8693218217916,1669.0428801867972,1689.162660981209,1705.8615662480315,1704.0505923441108,1709.860764310929,1704.8253161982575,1716.410500194206,1716.6284120554712,1729.1925746215334,1734.631674323649,1742.1052692244243,1748.7479659795254,1749.3218756377596,1745.2746202454016,1733.6591282101328,1734.4167740989408,1737.2603250068123,1750.1533912692516,1747.856324957669,1756.5724702091368,1751.5776578240668,1753.1902536506186,1748.6406074361669,1748.0336930197875,1746.8090328599762,1742.3214458774105,1742.473067535675,1745.9328348072977,1751.8381473838283,1759.8935545335055,1767.1566802938162,1768.9936485073936,1775.374469951969,1779.8348067509037,1786.4806967068844,1789.7735630003722,1794.5322916892271,1806.6102787231289,1819.3183052177053,1827.0392204953948,1830.481768045495,1829.6174365278905
114,"Huntsville, AL",AL,1029.7950630246123,1043.3882810571697,1051.116982130431,1052.731886017429,1061.2758652168188,1069.6316050241994,1085.8673288339337,1099.6017523907306,1116.5012018728994,1126.2334106472456,1137.4747898454978,1143.7688218613291,1156.311189604032,1167.4924652645377,1185.5246577057069,1202.958719149421,1221.7378840774732,1241.9409754682706,1258.723285390752,1271.4746625909388,1285.633419640572,1301.1015890648057,1314.0238734046325,1327.5950268451263,1334.4406349467552,1345.28034986798,1345.9255180350372,1350.872254090237,1356.4131987283386,1368.6362024159914,1375.8808992634397,1383.682569201332,1373.80087543811,1372.1026642238237,1372.5889500558394,1383.2704131376345,1393.0098240638745,1402.0431402480883,1414.091513929522,1422.8455017566275,1420.6321773346947,1416.5299504537177,1410.3443949539142,1411.4765564705351,1416.60279967673,1425.8748974215584,1430.520893344985,1433.5715291907711,1434.230500478565,1432.2860177369778,1431.155365546596,1430.283563703198,1436.313916901375,1439.7001736360512,1447.0697783971668,1448.9709467468758,1455.2735480729718,1453.6918247912836,1454.4146322703318,1450.8906891559443
