State,,Total Population,"$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 or more",Median Income (dollars)
Louisiana,"Moved; from different county, same state",3.1,3.8,3,3.4,3.2,2.9,2.6,2.2,1.7,26264
Louisiana,Moved; from different  state,1.6,2.1,1.2,1.7,1.5,1.7,1.8,1,1.4,30537
Louisiana,Moved; from abroad,0.5,0.9,0.3,0.4,0.2,0.3,0,0.7,0.2,15484
Maine,Total,1196853,139052,92308,136380,129325,182263,136799,66882,224726,39366
Maine,Moved; within same county,4.8,6.1,5.3,5,6.7,5.5,3.8,4.2,3.2,32119
Maine,"Moved; from different county, same state",2.6,4.4,2.2,2.2,2.2,3.1,2.7,1.6,1.8,35451
Maine,Moved; from different  state,2.9,3.6,1.5,2.3,3.3,2.3,2.1,2.1,4.1,41999
Maine,Moved; from abroad,0.4,0.3,0.3,0.4,0.5,0.2,0.1,0,0.3,28416
Maryland,Total,5066739,561276,265820,421703,414688,567777,509582,264145,1477161,50169
Maryland,Moved; within same county,4.6,5.1,5.1,5,4.4,6.4,5.5,4.8,3.5,43201
Maryland,"Moved; from different county, same state",2.8,4.8,2.6,3,2.3,2.5,3.1,3.3,1.9,40706
Maryland,Moved; from different  state,2.7,3.3,2.6,2.5,2.8,2.5,3.4,2.5,2.8,50666
Maryland,Moved; from abroad,0.8,1.3,0.8,0.6,0.5,0.4,0.6,0.6,0.3,28654
Massachusetts,Total,5912054,695623,360882,538998,468706,650617,567052,301678,1750895,48376
Massachusetts,Moved; within same county,5.9,7.3,6.1,6.1,6,5.7,5.9,6.3,5,42444
Massachusetts,"Moved; from different county, same state",3,4,3,2.6,3,3,3.4,2.5,2.5,42121
Massachusetts,Moved; from different  state,2.2,4.1,2.4,1.7,2.1,1.6,1.7,2.4,1.8,37164
Massachusetts,Moved; from abroad,1,1.8,0.6,1.1,1.2,0.8,0.6,0.6,0.4,26030
Michigan,Total,8314793,1042147,629941,948551,875589,1149026,858646,400275,1511669,37095
Michigan,Moved; within same county,5.7,6.4,6.4,6.5,6.6,5.7,5.7,5.3,4,32035
Michigan,"Moved; from different county, same state",3.5,5.7,3.7,3.3,3.3,3.5,3.2,2.6,2.3,30300
Michigan,Moved; from different  state,1.5,2,1.3,1.6,1.4,1.6,1.1,1.5,1.4,33753
Michigan,Moved; from abroad,0.5,0.9,0.4,0.4,0.4,0.3,0.3,0.2,0.3,25914
Minnesota,Total,4676415,521612,279135,464728,423344,642945,574136,280762,1121304,45356
Minnesota,Moved; within same county,5.2,7.1,7.1,5.9,6.2,5.6,4.8,4.2,3.9,36475
Minnesota,"Moved; from different county, same state",4.4,7.2,5,5,4.9,4.5,4.1,3.3,2.5,33203
Minnesota,Moved; from different  state,1.9,3.2,2.4,2,1.9,1.8,1.8,1.7,1.5,36153
Minnesota,Moved; from abroad,0.6,0.9,0.6,0.8,0.4,0.4,0.3,0.3,0.2,24531
Mississippi,Total,2396940,314880,233881,320156,261319,302117,223934,90520,295639,30566
Mississippi,Moved; within same county,4.5,5.4,4.7,4.8,4.7,4.5,4,3.1,2.8,25869
Mississippi,"Moved; from different county, same state",3.4,4.3,3.5,3.1,2.6,3,2.7,2.9,2.4,24784
Mississippi,Moved; from different  state,2.3,3.3,2.3,1.7,2,2.1,2.9,3.2,2.1,30768
Mississippi,Moved; from abroad,0.4,0.6,0.3,0.2,0.1,0.3,0.2,0,0.2,16403
Missouri,Total,5076786,592332,371918,583678,551407,752560,550494,255597,886563,37595
Missouri,Moved; within same county,5.8,7,7.2,6.9,6.9,6.1,4.8,5.6,3.7,31342
Missouri,"Moved; from different county, same state",3.5,5.1,3.2,3.6,3.6,3.4,2.9,2.9,2,30793
Missouri,Moved; from different  state,2.4,3,2.4,2.7,2.7,2.2,2.5,2.5,2,32640
Missouri,Moved; from abroad,0.4,0.7,0.5,0.4,0.3,0.3,0.2,0.3,0.2,22201
Montana,Total,939482,121648,71849,114383,99773,130112,105780,46915,169275,36942
Montana,Moved; within same county,6.5,7.2,8.8,7,6.8,7.9,7.3,4.4,3.8,31905
Montana,"Moved; from different county, same state",3.3,5.2,4.3,3.7,4.4,2.3,2.3,2.2,1.8,25405
Montana,Moved; from different  state,3.5,5.9,1.9,3.4,2.7,3,3.2,2.7,3.5,33174
Montana,Moved; from abroad,0.2,0.2,0.2,0.2,0.5,0.3,0.4,0.2,0.1,36019
Nebraska,Total,1586300,193217,104939,162407,162156,240547,198543,85922,301711,40694
Nebraska,Moved; within same county,6.7,7.2,9.8,8.8,8.6,7,5.7,6,3.5,31514
Nebraska,"Moved; from different county, same state",3.5,6.6,3.3,3.5,2.5,4.1,4.1,2,2.3,35217
Nebraska,Moved; from different  state,2.5,3.4,2.3,3,2.9,2.1,1.6,3.3,2.1,32498
Nebraska,Moved; from abroad,0.6,0.8,0.2,0.9,0.8,0.8,0.3,0.4,0.1,32623
Nevada,Total,2635992,276980,161004,278269,296839,368590,268471,124724,497932,39353
Nevada,Moved; within same county,9,10.3,8.4,9.6,9.9,9.6,9,7.1,6.9,35709
Nevada,"Moved; from different county, same state",0.6,0.8,0.7,0.6,0.7,0.6,0.5,0.8,0.3,33250
