SizeRank,RegionName,StateName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
175,"San Luis Obispo, CA",CA,595240.0,605235.0,608616.0,592792.0,574716.0,577246.0,581772.0,608527.0,617965.0,640631.0,,666088.0,668031.0,658867.0,660429.0,679847.0,696785.0,712822.0,714090.0,724810.0,717265.0,727604.0,731448.0,747065.0,762506.0,777349.0,787551.0,793358.0,811175.0,831921.0,831186.0,817908.0,797956.0,783756.0,793420.0,801720.0,795295.0,786010.0,784907.0,796962.0,800882.0,802287.0,806540.0,802789.0,803692.0,825002.0,837350.0,838141.0,820059.0,830526.0,833384.0,847366.0,818455.0,820074.0,834944.0,862796.0,859777.0,848667.0,841953.0,853614.0
176,"Crestview, FL",FL,288714.0,287899.0,283102.0,283239.0,282568.0,292110.0,310795.0,331778.0,349558.0,356048.0,,361810.0,368267.0,371448.0,380344.0,386709.0,394805.0,385584.0,382514.0,371632.0,378147.0,384108.0,398215.0,408363.0,414642.0,420342.0,427296.0,446337.0,453687.0,455354.0,428164.0,415003.0,415508.0,421702.0,416087.0,403373.0,399492.0,407809.0,423327.0,432341.0,431364.0,420738.0,415325.0,425907.0,434915.0,446499.0,438253.0,431189.0,432238.0,441916.0,445399.0,447032.0,451024.0,463235.0,455229.0,446400.0,430511.0,432592.0,436775.0,438235.0
177,"Merced, CA",CA,271839.0,274465.0,280290.0,280441.0,278627.0,277155.0,280092.0,294007.0,302034.0,307524.0,309440.0,309657.0,312606.0,311513.0,321394.0,327199.0,337277.0,346995.0,356788.0,361469.0,364010.0,365948.0,369657.0,369666.0,377222.0,384811.0,397810.0,403452.0,407143.0,401267.0,400157.0,390559.0,387206.0,380568.0,376537.0,376051.0,376881.0,383328.0,388504.0,386058.0,385710.0,383250.0,389134.0,391557.0,389641.0,391870.0,392963.0,395153.0,390848.0,390639.0,392193.0,394109.0,399093.0,400354.0,399565.0,397897.0,395936.0,399101.0,399463.0,406122.0
178,"Waco, TX",TX,188270.0,189764.0,193981.0,188933.0,192089.0,195744.0,202160.0,204179.0,205767.0,212905.0,214546.0,217277.0,218138.0,223190.0,224866.0,227704.0,228201.0,233365.0,239755.0,243409.0,244595.0,235711.0,235385.0,239693.0,250151.0,256142.0,252599.0,251013.0,259655.0,262993.0,266172.0,260756.0,259496.0,264636.0,255417.0,253661.0,247926.0,256844.0,255976.0,251130.0,248375.0,256750.0,262718.0,258980.0,253067.0,255321.0,257865.0,257948.0,253807.0,254903.0,264395.0,264417.0,265266.0,261132.0,263928.0,268713.0,266908.0,268363.0,266769.0,274724.0
179,"Cedar Rapids, IA",IA,155115.0,154963.0,153790.0,155615.0,157867.0,159349.0,159921.0,161608.0,166178.0,170138.0,172758.0,171797.0,169460.0,169566.0,165748.0,167993.0,169022.0,174566.0,176608.0,176785.0,176329.0,176635.0,173965.0,173151.0,172428.0,174808.0,175883.0,175816.0,180695.0,183461.0,188063.0,188891.0,191479.0,189506.0,187525.0,188576.0,187334.0,185624.0,186022.0,187518.0,188561.0,188588.0,190548.0,194063.0,198147.0,198812.0,197179.0,195091.0,198510.0,207938.0,205391.0,204999.0,198202.0,202119.0,203987.0,206666.0,206821.0,205351.0,202894.0,206527.0
180,"Atlantic City, NJ",NJ,179031.0,183073.0,185550.0,190936.0,187360.0,192697.0,200650.0,215140.0,216529.0,216396.0,219277.0,229057.0,235849.0,239534.0,239998.0,240668.0,238583.0,235107.0,233896.0,230275.0,230737.0,230633.0,240687.0,244397.0,248428.0,251362.0,259708.0,264143.0,265933.0,263971.0,266687.0,262411.0,261510.0,258433.0,255700.0,255687.0,251998.0,250212.0,253640.0,261621.0,270237.0,269298.0,273245.0,290231.0,296041.0,306365.0,297627.0,302723.0,288467.0,290869.0,298478.0,313661.0,320156.0,309399.0,305903.0,305414.0,315831.0,328263.0,330851.0,330775.0
181,"Bremerton, WA",WA,375876.0,377638.0,379022.0,379765.0,381746.0,388254.0,395662.0,401623.0,404845.0,402930.0,415425.0,416569.0,421425.0,417860.0,430545.0,445337.0,458932.0,467992.0,473241.0,474334.0,478453.0,478993.0,485784.0,487118.0,491270.0,491250.0,497826.0,512692.0,524515.0,544607.0,536040.0,532306.0,508374.0,500664.0,495833.0,489491.0,489028.0,479741.0,488489.0,485105.0,496626.0,494456.0,501595.0,503859.0,508974.0,512254.0,506846.0,503174.0,505672.0,497432.0,501420.0,511421.0,540863.0,548826.0,541444.0,533552.0,529434.0,531397.0,535965.0,540106.0
182,"Sioux Falls, SD",SD,218494.0,211767.0,210357.0,210847.0,215986.0,217097.0,220532.0,221599.0,226397.0,229016.0,231101.0,231757.0,229185.0,234123.0,235948.0,246173.0,247040.0,254308.0,257797.0,263555.0,265153.0,264260.0,263764.0,262390.0,266526.0,269100.0,269410.0,270257.0,280518.0,292204.0,300145.0,298025.0,295625.0,294938.0,292883.0,293376.0,287914.0,282837.0,272967.0,277127.0,286094.0,297066.0,299201.0,300042.0,299364.0,297893.0,298216.0,297973.0,302415.0,304600.0,306478.0,304733.0,303786.0,304308.0,308241.0,307320.0,304789.0,306601.0,309443.0,312610.0
183,"Santa Cruz, CA",CA,823588.0,812944.0,816504.0,801365.0,813111.0,806623.0,825764.0,840643.0,865646.0,878846.0,889446.0,892403.0,922756.0,925126.0,929091.0,958623.0,1007986.0,1022419.0,1028051.0,1035468.0,1032518.0,978361.0,961765.0,971732.0,1020963.0,1088921.0,1183920.0,1235867.0,1204219.0,1157370.0,1121970.0,1134270.0,1130321.0,1158264.0,1115079.0,1075989.0,1020051.0,1038511.0,1063557.0,1070950.0,1105257.0,1113309.0,1153995.0,1115576.0,1083391.0,1028170.0,1043231.0,1048658.0,1019988.0,996968.0,988450.0,1027735.0,1027603.0,1083302.0,1101285.0,1142616.0,1120252.0,1129723.0,1143572.0,1139737.0
184,"Erie, PA",PA,122616.0,123553.0,125888.0,128626.0,132434.0,129316.0,130572.0,128137.0,131541.0,136412.0,138932.0,140776.0,136953.0,136000.0,131727.0,132504.0,135145.0,138061.0,138739.0,141039.0,143482.0,145114.0,148288.0,148586.0,146328.0,143457.0,147875.0,147854.0,152628.0,152825.0,164664.0,159155.0,159137.0,156272.0,155541.0,162107.0,159108.0,160910.0,153350.0,154324.0,152258.0,160807.0,160982.0,169259.0,161459.0,163121.0,164508.0,165244.0,168093.0,165286.0,169365.0,168924.0,173480.0,178812.0,179568.0,176747.0,175960.0,178829.0,190337.0,190435.0
