State,Moved,Population 1 year and over,1 to 4 years,5 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Median age (years)
New Hampshire,Moved; from abroad,0.4,0.6,0.1,1.1,0.8,0.5,0,0,0.2,0.3,28.9
New Jersey,Total,9192631,420318,1490637,770595,1182680,1238614,1193831,1249179,954259,692518,40.8
New Jersey,Moved; within same county,4.2,6.5,4.3,4.9,7.6,5.1,3.2,2.4,2.3,2.5,32.1
New Jersey,"Moved; from different county, same state",2.4,3,1.6,4.5,5.2,2.8,1.5,1.2,1.1,1.4,30.8
New Jersey,Moved; from different  state,1.7,2.3,0.9,3.2,4.3,1.9,1,0.9,0.7,0.9,30.6
New Jersey,Moved; from abroad,1,0.7,1.2,1.8,1.7,1.4,0.8,0.4,0.4,0.4,31
New Mexico,Total,2093439,83361,344265,194756,276825,276085,239914,256461,249033,172739,40.2
New Mexico,Moved; within same county,5.9,10.5,5.1,12.2,10.9,4.6,4.4,4,2.5,2.3,28.1
New Mexico,"Moved; from different county, same state",2.2,2.3,2.4,4.8,2.8,2.4,1.8,1.2,0.8,1.1,29.6
New Mexico,Moved; from different  state,3.1,4.1,2.5,5.4,4.7,3.6,2.4,2.6,1.9,1.2,31.9
New Mexico,Moved; from abroad,0.6,1.2,0.6,0.7,0.9,0.9,0.7,0.2,0.4,0.1,32.6
New York,Total,19365855,830347,2915041,1735312,2734288,2552527,2367063,2595776,2083076,1552425,40.6
New York,Moved; within same county,4.7,5.7,4,7.9,8.5,5.2,3.4,2.9,2.3,3,31
New York,"Moved; from different county, same state",2.5,2.6,1.7,7.1,4.5,2.4,1.6,1.3,0.8,0.7,28.2
New York,Moved; from different  state,1.6,1.5,0.7,5.4,3.4,1.3,0.8,0.7,0.5,0.4,27.3
New York,Moved; from abroad,0.9,0.7,0.8,1.9,1.7,0.9,0.5,0.4,0.4,0.4,29.6
North Carolina,Total,10719307,478555,1727760,1025440,1443771,1404906,1353219,1370300,1141720,773636,39.9
North Carolina,Moved; within same county,5.5,8.3,4.9,9.9,10.3,5.1,3.5,2.9,2.4,2.8,28.7
North Carolina,"Moved; from different county, same state",3.7,4.2,2.4,10.1,6.2,3.5,2.8,2.1,1.3,1.2,27.9
North Carolina,Moved; from different  state,3.2,4,2.3,6.7,5.7,3.2,1.8,2.1,1.7,1.5,29
North Carolina,Moved; from abroad,0.6,0.7,0.8,1.1,0.9,0.8,0.3,0.3,0.2,0.2,28
North Dakota,Total,774985,37547,133112,84320,114831,106705,76863,87652,77639,56316,36.7
North Dakota,Moved; within same county,7.9,7.8,5.8,19.9,13.7,6.3,5.2,2.9,2.1,5.6,26.7
North Dakota,"Moved; from different county, same state",2.8,2.3,1.1,8,4.4,1.5,2.6,1.6,1.2,2.3,27.3
North Dakota,Moved; from different  state,4.4,3.5,1.8,20.3,5.2,3.9,1.3,1.6,1.1,0.4,22.5
North Dakota,Moved; from abroad,0.9,1.1,0.3,1,3.2,0.3,0.6,0.3,0.8,0.2,27.7
Ohio,Total,11660232,528980,1915938,1042622,1550786,1481854,1405017,1521038,1318323,895674,40.3
Ohio,Moved; within same county,6.3,8.7,5.6,13.6,11,5.7,4.5,3.4,2.6,3.8,28.5
Ohio,"Moved; from different county, same state",3,3,1.7,10.6,5.2,2.8,1.9,1.2,1.2,1.4,26.8
Ohio,Moved; from different  state,1.6,2,1,4.3,2.8,1.6,1,0.8,0.7,0.9,28.6
Ohio,Moved; from abroad,0.5,0.6,0.4,1,1,0.5,0.4,0.2,0.2,0.2,28.8
Oklahoma,Total,4011072,196859,726133,403659,540127,539268,460843,467198,401013,275972,37.5
Oklahoma,Moved; within same county,7,10.2,7,12.8,11.3,6.6,4.8,4,2.7,3.8,27.4
Oklahoma,"Moved; from different county, same state",4.1,5.7,3.5,10.1,6.3,4,2.7,1.9,1.3,1.9,25.9
Oklahoma,Moved; from different  state,2.7,3.9,1.8,6,4.2,2.5,2,1.9,1.2,1.1,28.3
Oklahoma,Moved; from abroad,0.4,0.2,0.2,0.7,0.8,0.5,0.4,0.2,0.3,0.2,30.8
Oregon,Total,4196830,161622,631651,352882,591892,600748,522968,507193,492499,335375,41
Oregon,Moved; within same county,6.8,7,6.4,13.7,12.6,6.6,5.1,3.2,2.9,3.8,30
Oregon,"Moved; from different county, same state",3.2,3.8,1.6,8.7,5.7,3,2.2,1.7,1.5,2.2,30.7
